ID,wc_bio1,wc_bio4,wc_bio7,wc_bio12,wc_bio15,wc_bio16
O2TONM,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
BQLUK6,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
LSET8M,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
LEEL7I,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
LDNGO2,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
C1V4X1,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
U3DX7Q,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
B5CSC7,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
PSGXRQ,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
RAA1RC,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
YQ4D0E,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
L91GYD,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
KXEGKE,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
9KRGJG,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
B8TKGO,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
ETYXAP,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
Q24C83,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
Q4LBLV,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
ECNZCO,17.35309410095215,168.12303161621094,15.645499229431152,1469.0,93.02448272705078,796.0
2K768M,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
WQMCY2,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
MFF8RI,17.55010414123535,169.73960876464844,16.482250213623047,1284.0,97.6170425415039,703.0
MX2F0W,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
G6F953,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
WF937B,19.108156204223633,173.20909118652344,14.982250213623047,1383.0,92.50130462646484,743.0
